id,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
512737,f,2,f,f
513825,f,2,f,f
514572,f,3,f,f
515724,f,2,t,t
516102,f,3,f,t
516340,f,2,f,f
517407,f,2,f,f
518247,f,2,f,f
519566,f,3,f,f
519631,f,2,f,f
520389,f,2,f,f
522705,f,2,f,t
563971,f,2,f,f
522987,f,2,t,t
526016,f,3,f,f
526094,f,3,f,f
528979,f,1,f,f
531195,f,4,f,f
531851,f,2,f,f
534410,f,3,f,f
534550,f,4,f,f
536470,f,3,f,f
537176,f,2,f,f
539349,f,3,f,f
543728,f,2,t,t
544995,f,3,f,f
545207,f,3,t,t
1005751,f,1,t,t
548052,f,2,f,f
551378,f,3,f,f
554299,f,2,f,f
556255,f,3,t,t
556979,f,2,f,f
557772,f,3,f,f
558366,f,2,f,f
558549,f,2,f,f
558651,f,3,f,f
558886,f,2,f,f
559930,f,2,t,t
562169,f,3,f,t
562807,f,1,f,f
563131,f,2,f,f
564809,f,2,f,f
566869,f,3,t,f
567855,f,2,f,f
567962,f,1,f,f
568129,f,2,t,t
568185,f,2,t,t
568432,f,3,f,f
569527,f,5,f,f
569610,f,2,t,t
572646,f,2,f,t
572833,f,2,f,t
575139,f,2,f,f
575144,f,2,f,f
576046,f,3,f,f
576383,f,2,f,f
576550,f,2,f,f
576728,f,2,f,f
577271,f,3,t,f
577865,f,3,f,f
578180,f,3,f,f
578558,f,3,t,t
582364,f,3,f,f
584348,f,2,f,f
585762,f,3,f,t
587203,f,2,f,f
588268,f,3,f,f
588996,f,2,f,f
590503,f,2,f,f
590991,f,2,t,t
594235,f,2,f,f
594580,f,2,f,f
594965,f,2,f,t
596148,f,2,f,f
597715,f,2,f,f
598329,f,2,f,f
600162,f,3,f,f
602187,f,3,f,f
602284,f,2,f,f
605186,f,2,f,f
610868,f,2,f,f
611366,f,1,f,f
617561,f,1,f,f
619775,f,3,f,f
621656,f,2,f,t
625716,f,3,f,f
626043,f,2,f,f
627394,f,1,f,f
630566,f,3,f,f
631119,f,2,f,f
632818,f,1,f,f
634786,f,2,f,f
635339,f,2,f,f
636702,f,2,f,f
637232,f,2,f,f
638009,f,3,f,f
17468995,f,1,f,f
639137,f,2,f,f
639820,f,2,f,f
640268,f,1,f,f
640867,f,2,f,f
667762,f,3,f,f
644378,f,2,f,f
644534,f,2,t,t
645513,f,3,t,t
648112,f,2,f,f
650885,f,2,f,f
653634,f,3,t,t
22937774,f,2,f,f
659207,f,2,f,f
662879,f,2,f,f
663096,f,2,f,f
663732,f,3,t,t
667143,f,3,f,f
667177,f,2,t,t
667181,f,3,f,f
670546,f,2,f,t
670782,f,3,f,f
670956,f,2,f,f
671458,f,3,f,f
676924,f,1,f,f
671951,f,3,f,f
672728,f,1,f,f
673708,f,1,t,t
674068,f,2,f,f
674461,f,2,f,f
674723,f,3,f,f
675174,f,1,f,f
675175,f,1,f,f
677012,f,2,f,f
677850,f,1,f,f
679547,f,3,f,f
679664,f,1,f,f
679965,f,3,f,f
682808,f,2,f,t
682871,f,2,f,t
683062,f,1,f,f
683195,f,3,f,f
684613,f,3,f,f
685934,f,1,f,f
686830,f,2,f,f
688229,f,2,f,f
688527,f,2,f,f
688703,f,3,f,f
688946,f,3,f,t
692480,f,3,f,f
694516,f,2,f,f
698593,f,3,f,f
699920,f,2,f,f
699927,f,2,f,t
700150,f,2,f,f
702095,f,2,f,f
703719,f,3,f,f
705086,f,2,f,f
714400,f,2,f,f
715036,f,2,f,f
717710,f,2,f,f
718469,f,3,f,f
721375,f,2,f,t
721378,f,2,f,t
721470,f,2,f,t
721471,f,2,f,t
721473,f,2,f,t
721478,f,2,f,t
721479,f,2,f,t
740113,f,3,f,f
721509,f,2,f,t
721510,f,2,f,t
721511,f,2,f,t
721512,f,2,f,t
722100,f,2,f,f
722682,f,3,f,f
722742,f,3,f,f
724086,f,2,f,f
724331,f,2,f,t
724523,f,2,f,f
725009,f,2,f,f
725659,f,3,f,f
725779,f,2,t,t
728480,f,1,f,f
729078,f,2,f,f
8521278,f,1,f,f
730467,f,2,f,t
731225,f,2,f,f
732214,f,3,f,f
732671,f,2,f,t
733941,f,3,f,t
735165,f,3,f,t
735311,f,3,f,f
735587,f,3,f,f
735620,f,3,f,f
735631,f,3,f,f
739174,f,1,f,f
739557,f,2,f,f
740343,f,3,t,f
740362,f,1,f,f
742156,f,2,f,t
742257,f,2,f,t
1288165,f,1,f,f
742820,f,2,f,t
744153,f,3,t,t
745220,f,2,f,t
745275,f,2,f,t
745829,f,2,f,f
746086,f,1,f,f
747081,f,2,f,f
747274,f,2,f,f
748693,f,2,f,f
750066,f,3,f,f
753322,f,2,f,f
756580,f,2,f,f
756588,f,2,f,f
757149,f,3,f,f
786250,f,2,f,f
758216,f,2,f,f
758925,f,2,f,f
759351,f,1,f,f
759760,f,3,f,f
759769,f,2,f,f
759811,f,2,f,f
760131,f,3,f,f
761220,f,2,f,f
763176,f,2,f,f
763465,f,1,f,f
764452,f,2,f,f
767596,f,2,f,f
770175,f,3,t,f
770453,f,2,f,f
771440,f,2,f,f
772319,f,2,f,f
773886,f,2,f,f
775644,f,2,t,t
775794,f,2,f,f
776038,f,3,f,t
776174,f,3,f,f
777538,f,3,f,f
777587,f,3,f,f
782502,f,3,f,f
783032,f,1,f,f
842389,f,2,f,f
789101,f,2,f,f
790404,f,2,f,f
790475,f,2,f,f
790482,f,2,f,f
791717,f,2,f,f
792509,f,3,t,t
795991,f,3,f,f
796809,f,2,f,f
797590,f,2,f,f
799240,f,2,f,f
800045,f,3,f,f
801237,f,2,f,f
803502,f,2,t,f
803810,f,2,f,f
804268,f,3,f,f
810278,f,3,f,f
811669,f,2,f,f
813031,f,2,f,f
814154,f,2,f,t
814172,f,2,f,t
814177,f,2,f,t
814182,f,2,f,t
814202,f,2,f,t
814226,f,2,f,t
820629,f,1,f,f
821100,f,3,f,f
823272,f,3,f,t
826397,f,3,f,f
827787,f,2,f,f
829660,f,3,f,t
832516,f,2,f,f
833491,f,3,f,f
836392,f,2,t,t
837986,f,2,f,f
838805,f,1,f,f
839655,f,2,f,f
839805,f,2,f,f
841483,f,2,f,t
842126,f,2,f,f
843214,f,2,f,f
843612,f,1,f,f
845760,f,3,f,f
846423,f,2,f,f
847195,f,2,f,f
847735,f,2,f,t
847785,f,2,f,f
848135,f,2,f,f
849035,f,2,f,f
849839,f,3,f,f
850227,f,2,f,f
850228,f,2,f,f
851240,f,2,t,t
852134,f,1,f,f
852195,f,1,f,f
853731,f,3,f,t
856159,f,2,f,f
856853,f,2,t,f
857030,f,1,f,f
857117,f,2,f,f
859105,f,2,f,t
859813,f,2,f,f
859884,f,2,f,f
861172,f,2,f,t
861721,f,2,f,f
